src,dst,attack
5.231.18.218,207.136.84.130,0
146.2.215.129,139.178.82.250,0
28.82.218.85,1.96.167.240,0
103.254.192.15,0.0.0.0,0
161.69.48.219,161.69.45.5,0
67.144.242.154,114.17.62.128,0
208.233.255.107,10.27.30.61,0
67.144.242.154,114.17.62.128,0
102.6.88.247,153.193.47.101,0
146.2.215.244,131.248.141.87,0
153.193.47.190,102.29.125.33,0
182.198.229.238,198.92.147.122,0
5.231.18.218,207.136.84.130,0
220.27.80.200,43.43.40.35,0
127.54.208.162,153.193.46.58,0
64.121.157.95,73.1.176.61,0
161.69.48.219,161.69.45.5,0
43.201.48.27,221.46.220.111,0
47.127.59.228,108.140.113.96,0
128.59.1.109,1.96.166.184,0
153.193.47.190,102.29.125.33,0
128.45.113.84,1.96.167.79,0
168.147.166.80,168.147.23.17,0
168.147.166.80,168.147.23.17,0
87.225.55.209,0.0.0.0,0
116.164.128.64,3.253.138.182,0
122.3.61.243,3.238.242.102,0
221.112.150.237,140.71.37.176,0
161.69.48.219,161.69.45.5,0
146.2.215.128,23.79.12.218,0
99.141.114.106,1.96.223.185,0
36.127.75.167,107.29.215.14,0
168.147.166.80,168.147.23.17,0
168.147.166.80,168.147.23.17,0
153.217.91.197,100.74.180.246,0
122.3.61.243,3.238.242.102,0
122.3.61.243,3.238.242.102,0
168.147.166.80,168.147.23.17,0
221.112.150.237,140.71.37.176,0
153.193.47.190,102.29.125.33,0
137.5.223.80,130.25.44.21,0
65.22.111.56,43.206.169.136,0
168.147.166.80,168.147.23.17,0
39.183.87.3,1.107.168.103,0
168.147.166.80,168.147.23.17,0
161.69.48.219,161.69.45.5,0
69.172.232.25,67.231.121.88,0
66.6.236.134,5.252.100.89,0
74.71.98.134,216.241.76.219,0
146.2.215.129,139.184.23.216,0
69.13.49.131,111.205.25.218,0
153.193.47.190,102.29.125.33,0
117.72.183.93,137.183.237.32,0
153.193.47.190,102.29.125.33,0
70.253.148.215,210.128.130.202,0
74.71.98.134,216.241.76.219,0
43.147.252.165,68.16.186.228,0
216.192.233.22,214.85.40.195,0
216.192.233.22,214.85.40.195,0
104.123.153.155,210.29.60.25,0
99.158.44.6,3.139.254.247,0
161.69.48.219,161.69.45.5,0
74.238.223.161,3.220.137.114,0
153.193.47.190,102.29.125.33,0
65.118.34.39,74.71.124.190,0
201.100.131.146,1.96.124.136,0
216.192.233.22,214.85.40.195,0
216.192.233.22,214.85.40.195,0
43.29.193.28,68.233.53.126,0
198.88.219.48,198.88.218.136,0
161.69.48.219,161.69.45.5,0
5.252.90.210,101.63.38.205,0
153.193.47.190,102.29.125.33,0
18.227.142.179,43.43.40.170,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
76.86.34.252,201.86.86.151,0
74.238.223.161,3.220.137.114,0
161.253.121.22,5.252.121.56,0
157.14.29.208,201.197.216.38,0
128.45.115.99,1.96.167.240,0
29.131.195.56,144.191.174.14,0
198.54.233.233,208.163.38.187,0
43.29.193.28,68.233.53.126,0
161.69.48.219,161.69.45.5,0
43.29.193.28,68.233.53.126,0
43.253.9.93,153.193.117.253,0
51.177.159.132,65.141.150.245,0
153.193.47.190,102.29.125.33,0
158.10.87.86,3.253.33.212,0
43.139.101.143,1.150.38.64,0
139.146.145.41,35.240.203.196,0
127.136.146.156,1.66.37.196,0
70.253.148.215,210.128.130.202,0
99.158.44.6,3.139.254.247,0
68.171.242.236,35.240.210.245,0
43.139.101.143,1.150.38.64,0
161.254.94.20,0.0.0.0,0
139.146.145.41,35.240.203.196,0
198.88.218.136,198.88.219.22,0
139.146.145.41,35.240.203.196,0
210.29.164.101,35.240.203.247,0
64.154.167.132,208.163.38.87,0
161.69.48.219,161.69.45.5,0
106.84.38.147,1.38.1.47,0
153.193.47.190,102.29.125.33,0
43.139.101.143,1.150.38.64,0
136.221.148.203,104.209.99.25,0
201.35.130.122,130.63.95.225,0
198.88.219.48,198.88.218.136,0
51.177.159.132,65.141.150.245,0
69.95.58.246,99.60.133.248,0
158.10.87.86,3.253.33.212,0
161.69.48.219,161.69.45.5,0
64.120.62.201,73.1.176.252,0
207.152.32.141,1.96.167.40,0
43.139.101.125,1.150.171.21,0
43.155.252.159,153.193.46.125,0
153.193.47.190,102.29.125.33,0
43.139.101.143,1.103.139.4,0
139.146.145.29,35.240.203.196,0
198.88.219.48,198.88.218.136,0
71.206.208.73,157.53.7.4,0
161.69.48.219,161.69.45.5,0
39.111.31.159,3.237.155.163,0
146.2.215.244,139.178.81.36,0
208.233.255.107,10.27.30.61,0
153.193.47.190,102.29.125.33,0
74.238.253.106,11.161.74.41,0
18.184.1.6,3.249.2.225,0
198.88.219.20,198.88.218.136,0
178.51.72.222,114.64.170.109,0
68.171.242.236,35.240.210.245,0
146.2.215.244,139.178.81.36,0
112.44.81.60,153.193.46.216,0
201.188.126.242,221.195.231.36,0
65.181.105.15,67.231.114.176,0
146.2.214.223,121.197.44.159,0
51.177.159.132,65.141.150.245,0
161.69.48.219,161.69.45.5,0
153.193.47.190,102.29.125.33,0
51.177.159.132,65.141.150.245,0
67.231.126.184,220.27.151.119,0
74.238.253.106,11.161.74.41,0
198.88.219.49,66.150.217.25,0
43.252.225.104,43.23.96.195,0
220.27.151.111,67.231.121.72,0
101.10.244.205,215.164.127.159,0
198.54.233.244,208.163.38.184,0
199.203.176.248,213.25.200.49,0
161.69.48.219,161.69.45.5,0
74.238.253.106,11.161.74.41,0
153.193.47.190,102.29.125.33,0
35.240.203.214,85.1.34.136,0
51.177.159.132,65.141.150.245,0
43.252.225.104,43.23.96.195,0
112.92.246.45,1.96.166.199,0
202.225.166.47,1.102.65.228,0
161.69.48.219,161.69.45.5,0
64.120.62.201,73.1.176.252,0
153.193.47.190,102.29.125.33,0
155.110.99.194,208.163.45.249,0
43.139.101.121,1.155.61.162,0
43.139.101.119,1.15.166.226,0
43.252.225.104,43.23.96.195,0
90.10.108.198,111.205.228.124,0
43.8.225.243,153.193.46.109,0
201.100.131.146,1.96.124.136,0
161.69.48.219,161.69.45.5,0
43.8.225.243,153.193.46.109,0
153.193.47.190,102.29.125.33,0
51.177.159.132,65.141.150.245,0
153.193.47.190,102.29.125.33,0
43.252.225.104,43.23.96.195,0
132.38.107.9,35.240.203.254,0
119.241.245.252,1.102.120.175,0
198.88.219.113,198.88.218.136,0
111.37.249.183,5.240.49.210,0
146.2.215.244,106.92.154.150,0
161.69.48.219,161.69.45.5,0
5.231.18.218,207.136.84.130,0
153.193.47.190,102.29.125.33,0
43.139.101.124,1.1.34.171,0
111.37.250.110,1.145.175.142,0
43.252.225.104,43.23.96.195,0
43.20.190.252,153.193.47.174,0
43.224.185.36,208.163.38.12,0
128.84.82.68,3.239.133.209,0
221.112.150.193,13.19.47.147,0
146.2.215.244,140.55.96.19,0
146.14.11.156,142.51.167.117,0
161.69.48.219,161.69.45.5,0
5.231.18.218,207.136.84.130,0
153.193.47.190,102.29.125.33,0
43.252.225.104,43.23.96.195,0
120.164.189.126,1.96.167.79,0
71.14.24.78,198.74.105.22,0
120.164.189.126,1.96.167.79,0
161.69.48.219,161.69.45.5,0
198.88.219.116,214.107.119.22,0
111.160.84.172,111.205.228.170,0
153.193.47.190,102.29.125.33,0
204.209.124.99,1.8.51.175,0
142.132.40.11,102.43.170.47,0
111.205.116.140,3.137.145.93,0
43.252.225.104,43.23.96.195,0
215.250.118.138,102.43.175.98,0
15.120.50.193,43.149.90.75,0
120.164.189.126,1.96.167.79,0
43.252.224.135,101.61.226.170,0
106.84.38.211,1.35.170.175,0
