"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"229",741,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"230",742,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"231",743,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"232",744,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"233",745,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"234",746,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"235",747,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"236",748,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"237",749,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"238",750,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"239",751,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"240",752,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"241",753,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"242",754,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"243",755,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"244",756,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"245",757,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"246",758,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"247",759,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"248",760,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"249",761,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"250",762,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"251",763,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"252",764,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"253",765,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"254",766,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"255",767,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"256",768,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"257",769,13032,3352,0.79541015625,0.20458984375,16384,0,1,0,0,0,0,0,24,14,128
"258",770,13024,3360,0.794921875,0.205078125,13098,3286,0.7994384765625,0.2005615234375,3286,0,0.97797619047619,0,24,14,128
